<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<LAST>,<CLOSE>,<VOL>
13901119,166.83,167,167,166.83,166.83,248387500
13901123,175.14,175,169,175.14,174.63,75848282
13901124,176.42,179,166,167.72,172.71,23435322
13901125,168.87,169,165,168.49,166.83,12352753
13901126,167.72,169,164,165.04,166.44,9402675
13901129,165.04,169,165,166.31,167.08,10763775
13901130,166.31,168,162,163.76,165.67,8287222
13901201,160.05,162,158,158.64,159.79,7255902
13901228,185.50,198,179,192.54,189.09,50477765
13910105,198.43,198,198,198.43,198.43,780221
13910106,208.28,208,208,208.28,208.28,1107443
13910107,215.31,219,202,218.64,214.42,35810039
13910108,223.88,225,223,225.04,224.78,6474176
13910109,235.91,236,236,235.91,235.91,468277
13910114,242.95,246,233,236.81,240.64,44896673
13910115,232.97,234,229,228.62,229.77,12919026
13910116,224.14,232,224,228.23,227.98,12630819
13910119,226.44,239,226,236.93,236.42,11614226
13910120,243.07,248,237,240.52,246.91,22050791
13910121,247.04,251,243,243.71,245.89,6497534
13910122,252.03,258,252,256.51,255.23,15758626
13910123,255.87,268,255,267.89,264.06,11247915
13910126,275.06,277,270,277.23,276.72,42588864
13910127,290.54,291,288,290.54,290.54,54534304
13910128,292.33,294,276,277.62,281.33,25315913
13910129,281.46,285,269,280.43,277.36,12988892
13910130,280.82,291,281,291.18,289.77,26599215
13910202,294.25,298,279,281.46,285.17,6825525
13910203,280.05,281,275,276.85,277.49,4886382
13910204,276.34,276,264,267.25,265.98,14799724
13910205,259.71,276,256,266.74,267.89,6179016
13910209,267.38,267,255,254.59,256.51,12686141
13910210,250.37,254,244,243.71,244.10,6441177
13910211,243.20,250,241,247.17,245.89,8112389
13910212,248.19,251,241,241.80,243.97,4328093
13910213,240.52,243,237,241.67,239.24,2869438
13910216,241.80,243,233,234.76,236.55,3383765
13910217,235.65,247,236,244.23,239.62,3594916
13910218,243.07,246,238,240.52,241.80,2785501
13910219,242.95,243,238,237.96,239.75,1648458
13910220,237.45,242,233,237.70,236.17,4350120
13910223,237.96,238,224,224.40,226.06,8680780
13910224,222.86,233,218,230.28,227.85,3181276
13910225,230.28,239,230,239.24,238.85,6715011
13910226,246.66,247,238,238.09,242.44,4007663
13910227,242.44,242,234,235.40,236.42,1971969
13910230,236.68,237,229,233.74,232.46,1047287
13910231,235.02,243,233,238.60,238.09,2077283
13910306,217.49,226,211,223.25,219.54,8305595
13910307,223.88,228,221,226.96,224.01,2051791
13910308,227.08,229,220,222.35,222.48,1360503
13910309,222.35,224,219,220.56,220.69,1528862
13910310,220.94,230,219,227.72,224.52,2624847
13910313,229.51,236,225,225.29,234.89,13753380
13910316,223.25,223,223,223.25,223.25,142509
13910317,212.11,217,212,212.11,212.11,10723379
13910320,209.68,210,202,201.62,202.90,4440448
13910321,197.02,202,193,199.58,196.63,5034242
13910322,204.31,206,199,202.14,203.67,11908534
13910323,204.18,204,195,195.61,198.30,3148642
13910324,196.89,201,193,196.89,196.25,2422747
13910327,198.17,200,193,193.56,196.12,2230973
13910328,194.08,198,191,198.30,193.05,2870569
13910330,198.30,198,192,197.15,195.74,806484
13910331,198.68,199,191,191.01,193.56,1370701
13910403,191.90,192,184,183.97,184.10,6791255
13910404,179.24,189,178,179.62,181.15,3251883
13910405,179.36,182,178,177.83,179.62,1850061
13910406,179.11,179,171,170.66,172.58,1962588
13910407,164.40,170,164,168.87,165.29,7333720
13910410,173.48,173,173,173.48,173.48,1112768
13910411,181.54,182,177,182.05,181.15,2970200
13910412,190.11,190,190,190.11,190.11,124304
13910413,199.58,200,192,195.74,198.55,9107701
13910414,194.59,200,189,195.74,194.84,3165647
13910417,194.08,196,188,187.81,191.90,1985973
13910418,186.91,191,182,182.31,184.35,2816471
13910419,177.83,179,175,178.47,176.04,5529253
13910420,178.98,185,178,184.74,184.61,8594351
13910421,186.91,194,187,191.13,192.41,4854986
13910424,193.95,198,183,184.74,187.94,2908114
13910425,186.78,189,179,179.11,182.43,7468150
13910426,179.11,182,173,173.35,173.86,6240185
13910507,179.11,179,164,165.04,168.11,6183980
13910508,165.04,169,160,162.35,161.71,1963529
13910509,166.06,170,162,169.77,168.75,6205164
13910510,177.06,177,177,177.06,177.06,2058534
13910511,185.89,186,175,175.27,181.41,8136518
13910514,173.99,174,172,172.46,172.71,1295629
13910515,166.31,178,165,177.06,171.82,3832494
13910516,177.70,180,175,176.55,178.98,7644589
13910517,179.11,179,170,170.28,171.56,3715237
13910518,173.99,180,168,180.13,178.60,4772322
13910521,181.67,187,180,187.42,185.50,7370675
13910522,188.06,190,176,181.67,181.79,6555737
13910523,179.11,190,176,189.34,187.81,6157691
13910524,190.62,197,191,197.15,196.89,8750879
13910525,206.61,207,207,206.61,206.61,491331
13910528,211.09,215,204,207.38,208.28,14120212
13910531,208.53,219,209,217.74,216.59,19637425
13910601,217.49,221,209,209.17,211.48,6827392
13910604,208.53,214,205,212.50,209.94,9914691
13910605,212.50,217,211,211.22,212.63,10247148
13910606,211.22,211,204,211.09,207.64,12671465
13910612,206.23,218,206,218.00,215.31,18972103
13910613,226.06,226,222,226.06,225.93,30144609
13910614,227.72,235,224,231.43,229.64,31080130
13910615,231.31,233,219,221.33,224.01,16883876
13910618,223.63,235,220,226.57,229.90,19196542
13910619,230.28,232,219,225.04,222.22,7595691
13910620,224.65,233,225,233.22,230.92,19660163
13910621,233.99,241,232,231.69,235.14,8536891
13910625,236.68,247,235,240.52,243.97,16137802
13910626,243.07,245,233,236.68,237.32,7266689
13910627,236.68,243,234,237.96,240.39,6490068
13910628,241.67,242,234,234.12,238.73,9227948
13910629,234.12,248,234,239.24,240.00,18264088
13910701,243.07,252,243,251.90,250.11,14145459
13910702,262.52,263,248,252.93,258.17,20663343
13910703,253.95,268,252,267.00,261.50,14387591
13910704,271.09,275,270,274.55,273.78,21113338
13910705,286.57,287,282,287.47,287.34,25945014
13910708,299.37,302,295,301.67,301.03,16532459
13910709,316.00,316,293,304.48,308.45,39525855
13910710,308.32,311,293,293.10,302.56,29549374
13910711,294.63,303,287,290.41,290.03,28973192
13910712,299.24,304,276,275.57,287.72,29433825
13910715,273.52,277,273,273.40,273.52,3412789
13910716,266.74,280,264,269.17,269.43,14493888
13910717,275.06,281,270,275.70,275.83,5464411
13910718,280.56,281,262,268.15,268.41,6322536
13910719,266.74,267,257,261.63,258.68,5511595
13910722,255.74,256,246,245.76,247.30,5884108
13910723,242.82,260,240,259.58,252.41,8846367
13910724,263.93,265,263,264.95,264.70,4459711
13910725,273.78,278,256,257.79,268.41,25921548
13910726,260.99,282,257,281.71,271.60,36541590
13910729,285.17,285,285,285.17,285.17,642959
13910730,299.37,299,292,299.37,299.24,80763901
13910801,314.08,314,314,314.08,314.08,125226625
13910802,313.44,325,299,310.75,312.93,41723248
13910803,308.96,329,309,328.54,323.16,50965227
13910806,329.69,339,329,339.28,338.13,51458881
13910807,348.62,352,329,342.86,341.97,49953987
13910808,345.68,355,339,349.13,347.60,29462483
13910809,346.45,365,346,349.26,356.68,56516880
13910810,345.55,357,341,353.10,349.77,34669309
13910814,354.38,363,345,346.83,352.59,20816474
13910815,345.42,345,335,339.03,335.57,46433930
13910816,336.72,352,337,349.26,347.21,22840857
13910817,358.22,364,354,364.48,360.90,28491733
13910820,366.53,372,348,360.77,360.52,21839636
13910821,361.67,369,356,355.66,359.62,14881794
13910822,354.38,368,348,360.13,360.52,15750596
13910823,362.69,378,362,378.43,376.38,45829718
13910824,386.36,395,384,392.76,392.63,49382575
13910827,391.61,392,373,376.25,377.53,40459922
13910828,371.01,386,367,369.09,374.98,15682902
13910829,362.05,367,356,356.30,357.58,27777373
13910830,350.80,363,340,354.38,350.28,14278204
13910901,356.94,363,356,361.93,360.13,12131325
13910906,369.22,378,369,378.05,375.10,16275501
13910907,383.80,393,376,379.32,383.93,23196358
13910908,383.67,390,371,377.41,382.52,24664591
13910911,378.56,385,371,374.85,378.81,17062565
13910912,382.40,390,370,374.85,378.56,20798245
13910913,374.85,377,368,369.73,372.16,16378297
13910914,374.08,379,369,369.22,372.29,9009147
13910915,368.58,380,365,376.38,374.98,15912235
13910918,385.21,394,371,371.27,386.23,49261954
13910919,371.01,377,367,367.94,368.45,34570072
13910920,365.89,377,354,358.09,362.18,10221550
13910921,356.94,367,352,353.10,356.42,6637061
13910922,354.89,356,345,353.10,350.28,9458834
13910925,357.96,363,352,354.12,355.91,6338385
13910926,360.65,370,352,363.33,363.72,11914892
13910927,369.73,382,370,381.88,378.56,25257889
13910928,387.64,388,372,373.57,378.81,20942887
13910929,376.13,385,365,367.17,373.44,20047247
13911002,371.01,380,367,376.13,375.61,12034401
13911003,394.29,394,394,394.29,394.29,20209966
13911004,414.00,414,414,414.00,414.00,10177848
